"age","mx","qx","lx","dx","ex","sex","year","year_start","year_end"
0,0.004559,0.004548,1e+05,454.8,79.07,"Male","2021-2023",2021,2023
1,0.000244,0.000244,99545.2,24.3,78.44,"Male","2021-2023",2021,2023
2,0.000172,0.000172,99520.8,17.1,77.45,"Male","2021-2023",2021,2023
3,0.000106,0.000106,99503.7,10.5,76.47,"Male","2021-2023",2021,2023
4,8.4e-05,8.4e-05,99493.1,8.3,75.48,"Male","2021-2023",2021,2023
5,8.6e-05,8.6e-05,99484.8,8.5,74.48,"Male","2021-2023",2021,2023
6,7.2e-05,7.2e-05,99476.3,7.1,73.49,"Male","2021-2023",2021,2023
7,7.2e-05,7.2e-05,99469.1,7.2,72.49,"Male","2021-2023",2021,2023
8,7.8e-05,7.8e-05,99461.9,7.8,71.5,"Male","2021-2023",2021,2023
9,7.3e-05,7.3e-05,99454.2,7.3,70.5,"Male","2021-2023",2021,2023
10,6e-05,6e-05,99446.9,5.9,69.51,"Male","2021-2023",2021,2023
11,9.2e-05,9.2e-05,99441,9.1,68.51,"Male","2021-2023",2021,2023
12,0.000103,0.000103,99431.8,10.3,67.52,"Male","2021-2023",2021,2023
13,0.000113,0.000113,99421.5,11.3,66.53,"Male","2021-2023",2021,2023
14,0.000137,0.000137,99410.3,13.7,65.53,"Male","2021-2023",2021,2023
15,0.000183,0.000183,99396.6,18.2,64.54,"Male","2021-2023",2021,2023
16,0.00023,0.00023,99378.4,22.9,63.55,"Male","2021-2023",2021,2023
17,0.000305,0.000305,99355.6,30.3,62.57,"Male","2021-2023",2021,2023
18,0.000434,0.000434,99325.3,43.1,61.59,"Male","2021-2023",2021,2023
19,0.000501,0.000501,99282.2,49.7,60.61,"Male","2021-2023",2021,2023
20,0.000465,0.000465,99232.5,46.1,59.64,"Male","2021-2023",2021,2023
21,0.000494,0.000494,99186.3,49,58.67,"Male","2021-2023",2021,2023
22,0.000504,0.000504,99137.3,49.9,57.7,"Male","2021-2023",2021,2023
23,0.000556,0.000556,99087.4,55.1,56.73,"Male","2021-2023",2021,2023
24,0.000514,0.000514,99032.3,50.9,55.76,"Male","2021-2023",2021,2023
25,0.000526,0.000526,98981.4,52,54.79,"Male","2021-2023",2021,2023
26,0.000623,0.000623,98929.3,61.6,53.82,"Male","2021-2023",2021,2023
27,0.000601,0.000601,98867.7,59.4,52.85,"Male","2021-2023",2021,2023
28,0.000659,0.000658,98808.3,65.1,51.88,"Male","2021-2023",2021,2023
29,0.000726,0.000726,98743.3,71.7,50.92,"Male","2021-2023",2021,2023
30,0.000735,0.000735,98671.6,72.5,49.95,"Male","2021-2023",2021,2023
31,0.000846,0.000845,98599.1,83.4,48.99,"Male","2021-2023",2021,2023
32,0.000861,0.000861,98515.8,84.8,48.03,"Male","2021-2023",2021,2023
33,0.000942,0.000942,98430.9,92.7,47.07,"Male","2021-2023",2021,2023
34,0.000961,0.00096,98338.2,94.4,46.12,"Male","2021-2023",2021,2023
35,0.001075,0.001075,98243.8,105.6,45.16,"Male","2021-2023",2021,2023
36,0.001162,0.001162,98138.2,114,44.21,"Male","2021-2023",2021,2023
37,0.001263,0.001262,98024.2,123.7,43.26,"Male","2021-2023",2021,2023
38,0.00135,0.001349,97900.5,132,42.31,"Male","2021-2023",2021,2023
39,0.001534,0.001532,97768.4,149.8,41.37,"Male","2021-2023",2021,2023
40,0.001628,0.001627,97618.6,158.8,40.43,"Male","2021-2023",2021,2023
41,0.001794,0.001792,97459.8,174.7,39.5,"Male","2021-2023",2021,2023
42,0.001851,0.001849,97285.1,179.9,38.57,"Male","2021-2023",2021,2023
43,0.002006,0.002004,97105.3,194.6,37.64,"Male","2021-2023",2021,2023
44,0.002166,0.002164,96910.6,209.7,36.71,"Male","2021-2023",2021,2023
45,0.002383,0.00238,96700.9,230.1,35.79,"Male","2021-2023",2021,2023
46,0.002517,0.002514,96470.8,242.5,34.87,"Male","2021-2023",2021,2023
47,0.00283,0.002826,96228.3,271.9,33.96,"Male","2021-2023",2021,2023
48,0.003085,0.00308,95956.3,295.6,33.06,"Male","2021-2023",2021,2023
49,0.003357,0.003352,95660.8,320.6,32.16,"Male","2021-2023",2021,2023
50,0.003658,0.003652,95340.1,348.1,31.26,"Male","2021-2023",2021,2023
51,0.003924,0.003916,94992,372,30.38,"Male","2021-2023",2021,2023
52,0.004339,0.00433,94620,409.7,29.49,"Male","2021-2023",2021,2023
53,0.004569,0.004559,94210.3,429.5,28.62,"Male","2021-2023",2021,2023
54,0.004918,0.004906,93780.8,460.1,27.75,"Male","2021-2023",2021,2023
55,0.005308,0.005294,93320.8,494,26.88,"Male","2021-2023",2021,2023
56,0.005729,0.005713,92826.7,530.3,26.02,"Male","2021-2023",2021,2023
57,0.006265,0.006245,92296.4,576.4,25.17,"Male","2021-2023",2021,2023
58,0.006752,0.00673,91720,617.2,24.32,"Male","2021-2023",2021,2023
59,0.007194,0.007168,91102.8,653,23.49,"Male","2021-2023",2021,2023
60,0.008017,0.007985,90449.8,722.3,22.65,"Male","2021-2023",2021,2023
61,0.008873,0.008834,89727.5,792.6,21.83,"Male","2021-2023",2021,2023
62,0.00959,0.009544,88934.9,848.8,21.02,"Male","2021-2023",2021,2023
63,0.010371,0.010318,88086,908.8,20.22,"Male","2021-2023",2021,2023
64,0.011392,0.011327,87177.2,987.5,19.42,"Male","2021-2023",2021,2023
65,0.01243,0.012353,86189.8,1064.7,18.64,"Male","2021-2023",2021,2023
66,0.013666,0.013573,85125.1,1155.4,17.87,"Male","2021-2023",2021,2023
67,0.015092,0.014979,83969.7,1257.8,17.11,"Male","2021-2023",2021,2023
68,0.0167,0.016562,82711.9,1369.9,16.36,"Male","2021-2023",2021,2023
69,0.018005,0.017844,81342,1451.5,15.63,"Male","2021-2023",2021,2023
70,0.019763,0.01957,79890.5,1563.5,14.9,"Male","2021-2023",2021,2023
71,0.021647,0.021415,78327,1677.4,14.19,"Male","2021-2023",2021,2023
72,0.023905,0.023622,76649.7,1810.6,13.49,"Male","2021-2023",2021,2023
73,0.025648,0.025324,74839.1,1895.2,12.8,"Male","2021-2023",2021,2023
74,0.027738,0.027358,72943.9,1995.6,12.12,"Male","2021-2023",2021,2023
75,0.030945,0.030473,70948.3,2162,11.45,"Male","2021-2023",2021,2023
76,0.034899,0.0343,68786.2,2359.4,10.79,"Male","2021-2023",2021,2023
77,0.038944,0.038201,66426.8,2537.5,10.16,"Male","2021-2023",2021,2023
78,0.043894,0.042951,63889.3,2744.1,9.54,"Male","2021-2023",2021,2023
79,0.048886,0.04772,61145.2,2917.8,8.95,"Male","2021-2023",2021,2023
80,0.056137,0.054605,58227.3,3179.5,8.37,"Male","2021-2023",2021,2023
81,0.062701,0.060795,55047.9,3346.6,7.83,"Male","2021-2023",2021,2023
82,0.071192,0.068745,51701.2,3554.2,7.3,"Male","2021-2023",2021,2023
83,0.078266,0.075319,48147,3626.4,6.8,"Male","2021-2023",2021,2023
84,0.08809,0.084373,44520.7,3756.4,6.32,"Male","2021-2023",2021,2023
85,0.099306,0.094608,40764.3,3856.6,5.85,"Male","2021-2023",2021,2023
86,0.11239,0.10641,36907.7,3927.4,5.41,"Male","2021-2023",2021,2023
87,0.127291,0.119674,32980.3,3946.9,4.99,"Male","2021-2023",2021,2023
88,0.144741,0.134973,29033.4,3918.7,4.61,"Male","2021-2023",2021,2023
89,0.162602,0.150376,25114.7,3776.6,4.25,"Male","2021-2023",2021,2023
90,0.185583,0.169825,21338,3623.7,3.91,"Male","2021-2023",2021,2023
91,0.206944,0.187539,17714.3,3322.1,3.61,"Male","2021-2023",2021,2023
92,0.233295,0.208924,14392.2,3006.9,3.32,"Male","2021-2023",2021,2023
93,0.259311,0.229549,11385.3,2613.5,3.07,"Male","2021-2023",2021,2023
94,0.291524,0.254437,8771.8,2231.9,2.84,"Male","2021-2023",2021,2023
95,0.316558,0.273301,6540,1787.4,2.63,"Male","2021-2023",2021,2023
96,0.350486,0.298224,4752.6,1417.3,2.43,"Male","2021-2023",2021,2023
97,0.391586,0.32747,3335.2,1092.2,2.26,"Male","2021-2023",2021,2023
98,0.404375,0.336366,2243.1,754.5,2.11,"Male","2021-2023",2021,2023
99,0.462919,0.375911,1488.6,559.6,1.93,"Male","2021-2023",2021,2023
100,0.505709,0.403645,929,375,1.79,"Male","2021-2023",2021,2023
0,0.003588,0.003581,1e+05,358.1,83.04,"Female","2021-2023",2021,2023
1,0.000223,0.000223,99641.9,22.2,82.33,"Female","2021-2023",2021,2023
2,0.000143,0.000143,99619.6,14.2,81.35,"Female","2021-2023",2021,2023
3,9.8e-05,9.8e-05,99605.4,9.8,80.36,"Female","2021-2023",2021,2023
4,6.8e-05,6.8e-05,99595.7,6.8,79.37,"Female","2021-2023",2021,2023
5,7.1e-05,7.1e-05,99588.8,7.1,78.38,"Female","2021-2023",2021,2023
6,6.9e-05,6.9e-05,99581.8,6.9,77.38,"Female","2021-2023",2021,2023
7,5.9e-05,5.9e-05,99574.9,5.9,76.39,"Female","2021-2023",2021,2023
8,6.4e-05,6.4e-05,99569,6.4,75.39,"Female","2021-2023",2021,2023
9,6.2e-05,6.2e-05,99562.6,6.1,74.4,"Female","2021-2023",2021,2023
10,6.6e-05,6.6e-05,99556.5,6.5,73.4,"Female","2021-2023",2021,2023
11,7.6e-05,7.6e-05,99549.9,7.6,72.41,"Female","2021-2023",2021,2023
12,6.7e-05,6.7e-05,99542.4,6.6,71.41,"Female","2021-2023",2021,2023
13,0.000102,0.000102,99535.8,10.2,70.42,"Female","2021-2023",2021,2023
14,8.7e-05,8.7e-05,99525.6,8.6,69.42,"Female","2021-2023",2021,2023
15,0.000131,0.000131,99517,13,68.43,"Female","2021-2023",2021,2023
16,0.000116,0.000116,99504,11.5,67.44,"Female","2021-2023",2021,2023
17,0.000167,0.000167,99492.4,16.6,66.45,"Female","2021-2023",2021,2023
18,0.000175,0.000175,99475.8,17.4,65.46,"Female","2021-2023",2021,2023
19,0.000192,0.000192,99458.4,19.1,64.47,"Female","2021-2023",2021,2023
20,0.000225,0.000225,99439.4,22.4,63.48,"Female","2021-2023",2021,2023
21,0.000214,0.000213,99417,21.2,62.49,"Female","2021-2023",2021,2023
22,0.000207,0.000207,99395.8,20.6,61.51,"Female","2021-2023",2021,2023
23,0.000235,0.000235,99375.2,23.4,60.52,"Female","2021-2023",2021,2023
24,0.00024,0.00024,99351.8,23.8,59.53,"Female","2021-2023",2021,2023
25,0.000229,0.000229,99328,22.7,58.55,"Female","2021-2023",2021,2023
26,0.000269,0.000269,99305.3,26.7,57.56,"Female","2021-2023",2021,2023
27,3e-04,3e-04,99278.6,29.8,56.58,"Female","2021-2023",2021,2023
28,0.000303,0.000303,99248.8,30.1,55.59,"Female","2021-2023",2021,2023
29,0.000337,0.000337,99218.7,33.4,54.61,"Female","2021-2023",2021,2023
30,0.00034,0.00034,99185.3,33.7,53.63,"Female","2021-2023",2021,2023
31,0.000381,0.00038,99151.6,37.7,52.65,"Female","2021-2023",2021,2023
32,0.000439,0.000439,99113.9,43.5,51.67,"Female","2021-2023",2021,2023
33,0.000473,0.000473,99070.4,46.8,50.69,"Female","2021-2023",2021,2023
34,0.00054,0.00054,99023.5,53.5,49.71,"Female","2021-2023",2021,2023
35,0.000602,0.000601,98970,59.5,48.74,"Female","2021-2023",2021,2023
36,0.000578,0.000578,98910.5,57.2,47.77,"Female","2021-2023",2021,2023
37,0.000705,0.000704,98853.3,69.6,46.8,"Female","2021-2023",2021,2023
38,0.000838,0.000838,98783.7,82.7,45.83,"Female","2021-2023",2021,2023
39,0.000889,0.000888,98700.9,87.7,44.87,"Female","2021-2023",2021,2023
40,0.000946,0.000946,98613.3,93.3,43.91,"Female","2021-2023",2021,2023
41,0.001019,0.001019,98520,100.4,42.95,"Female","2021-2023",2021,2023
42,0.001153,0.001152,98419.6,113.4,41.99,"Female","2021-2023",2021,2023
43,0.001165,0.001164,98306.2,114.4,41.04,"Female","2021-2023",2021,2023
44,0.001317,0.001317,98191.8,129.3,40.09,"Female","2021-2023",2021,2023
