"age","mx","qx","lx","dx","ex","sex","year","year_start","year_end"
0,0.004549,0.004539,1e+05,453.9,78.05,"Male","2021-2023",2021,2023
1,0.000154,0.000154,99546.1,15.4,77.41,"Male","2021-2023",2021,2023
2,0.000107,0.000107,99530.8,10.7,76.42,"Male","2021-2023",2021,2023
3,0.000289,0.000289,99520.1,28.8,75.43,"Male","2021-2023",2021,2023
4,0.00014,0.00014,99491.3,13.9,74.45,"Male","2021-2023",2021,2023
5,7.7e-05,7.7e-05,99477.4,7.7,73.46,"Male","2021-2023",2021,2023
6,1.9e-05,1.9e-05,99469.7,1.9,72.47,"Male","2021-2023",2021,2023
7,3.7e-05,3.7e-05,99467.8,3.7,71.47,"Male","2021-2023",2021,2023
8,5.5e-05,5.5e-05,99464.1,5.5,70.47,"Male","2021-2023",2021,2023
9,5.4e-05,5.4e-05,99458.6,5.4,69.48,"Male","2021-2023",2021,2023
10,7.1e-05,7.1e-05,99453.2,7,68.48,"Male","2021-2023",2021,2023
11,0.000105,0.000105,99446.1,10.4,67.48,"Male","2021-2023",2021,2023
12,5.2e-05,5.2e-05,99435.7,5.2,66.49,"Male","2021-2023",2021,2023
13,0.000122,0.000122,99430.5,12.2,65.49,"Male","2021-2023",2021,2023
14,0.000141,0.000141,99418.3,14,64.5,"Male","2021-2023",2021,2023
15,0.000108,0.000108,99404.3,10.7,63.51,"Male","2021-2023",2021,2023
16,0.000219,0.000219,99393.6,21.7,62.52,"Male","2021-2023",2021,2023
17,0.000276,0.000276,99371.9,27.4,61.53,"Male","2021-2023",2021,2023
18,4e-04,4e-04,99344.4,39.7,60.55,"Male","2021-2023",2021,2023
19,0.000531,0.000531,99304.7,52.7,59.57,"Male","2021-2023",2021,2023
20,0.000307,0.000307,99252,30.5,58.6,"Male","2021-2023",2021,2023
21,0.000493,0.000493,99221.5,48.9,57.62,"Male","2021-2023",2021,2023
22,0.000462,0.000462,99172.6,45.8,56.65,"Male","2021-2023",2021,2023
23,0.000472,0.000472,99126.8,46.8,55.68,"Male","2021-2023",2021,2023
24,0.00049,0.00049,99080,48.6,54.7,"Male","2021-2023",2021,2023
25,0.000517,0.000517,99031.4,51.2,53.73,"Male","2021-2023",2021,2023
26,0.000839,0.000838,98980.2,83,52.76,"Male","2021-2023",2021,2023
27,0.000667,0.000667,98897.2,66,51.8,"Male","2021-2023",2021,2023
28,0.000752,0.000752,98831.3,74.3,50.83,"Male","2021-2023",2021,2023
29,0.001004,0.001004,98757,99.1,49.87,"Male","2021-2023",2021,2023
30,0.001024,0.001024,98657.9,101,48.92,"Male","2021-2023",2021,2023
31,0.001301,0.0013,98556.9,128.1,47.97,"Male","2021-2023",2021,2023
32,0.001317,0.001316,98428.7,129.6,47.03,"Male","2021-2023",2021,2023
33,0.001096,0.001095,98299.2,107.7,46.09,"Male","2021-2023",2021,2023
34,0.001396,0.001395,98191.5,137,45.14,"Male","2021-2023",2021,2023
35,0.00142,0.001419,98054.5,139.1,44.21,"Male","2021-2023",2021,2023
36,0.001788,0.001786,97915.4,174.9,43.27,"Male","2021-2023",2021,2023
37,0.001563,0.001562,97740.5,152.6,42.35,"Male","2021-2023",2021,2023
38,0.001864,0.001863,97587.9,181.8,41.41,"Male","2021-2023",2021,2023
39,0.00188,0.001878,97406.1,183,40.49,"Male","2021-2023",2021,2023
40,0.002195,0.002193,97223.1,213.2,39.56,"Male","2021-2023",2021,2023
41,0.002137,0.002134,97010,207.1,38.65,"Male","2021-2023",2021,2023
42,0.002179,0.002177,96802.9,210.7,37.73,"Male","2021-2023",2021,2023
43,0.002512,0.002509,96592.2,242.3,36.81,"Male","2021-2023",2021,2023
44,0.003056,0.003052,96349.9,294,35.9,"Male","2021-2023",2021,2023
45,0.00286,0.002856,96055.8,274.3,35.01,"Male","2021-2023",2021,2023
46,0.003617,0.003611,95781.5,345.9,34.11,"Male","2021-2023",2021,2023
47,0.003702,0.003695,95435.6,352.7,33.23,"Male","2021-2023",2021,2023
48,0.00446,0.00445,95083,423.2,32.35,"Male","2021-2023",2021,2023
49,0.004082,0.004073,94659.8,385.6,31.5,"Male","2021-2023",2021,2023
50,0.004595,0.004585,94274.2,432.2,30.62,"Male","2021-2023",2021,2023
51,0.004529,0.004518,93842,424,29.76,"Male","2021-2023",2021,2023
52,0.004892,0.00488,93418,455.9,28.89,"Male","2021-2023",2021,2023
53,0.005155,0.005142,92962.1,478,28.03,"Male","2021-2023",2021,2023
54,0.005635,0.005619,92484.1,519.7,27.18,"Male","2021-2023",2021,2023
55,0.005611,0.005595,91964.4,514.5,26.33,"Male","2021-2023",2021,2023
56,0.006353,0.006332,91449.9,579.1,25.47,"Male","2021-2023",2021,2023
57,0.006418,0.006398,90870.7,581.4,24.63,"Male","2021-2023",2021,2023
58,0.007116,0.007091,90289.4,640.2,23.79,"Male","2021-2023",2021,2023
59,0.008212,0.008179,89649.2,733.2,22.95,"Male","2021-2023",2021,2023
60,0.008859,0.00882,88915.9,784.3,22.14,"Male","2021-2023",2021,2023
61,0.009254,0.009211,88131.7,811.8,21.33,"Male","2021-2023",2021,2023
62,0.010224,0.010172,87319.9,888.2,20.52,"Male","2021-2023",2021,2023
63,0.011162,0.0111,86431.7,959.4,19.73,"Male","2021-2023",2021,2023
64,0.012309,0.012234,85472.3,1045.7,18.95,"Male","2021-2023",2021,2023
65,0.013057,0.012973,84426.6,1095.2,18.17,"Male","2021-2023",2021,2023
66,0.015258,0.015142,83331.4,1261.8,17.41,"Male","2021-2023",2021,2023
67,0.016732,0.016593,82069.6,1361.8,16.67,"Male","2021-2023",2021,2023
68,0.017241,0.017094,80707.8,1379.6,15.94,"Male","2021-2023",2021,2023
69,0.019814,0.01962,79328.2,1556.4,15.21,"Male","2021-2023",2021,2023
70,0.020904,0.020688,77771.8,1608.9,14.5,"Male","2021-2023",2021,2023
71,0.023192,0.022926,76162.9,1746.1,13.8,"Male","2021-2023",2021,2023
72,0.025161,0.024849,74416.8,1849.2,13.11,"Male","2021-2023",2021,2023
73,0.027072,0.02671,72567.6,1938.3,12.43,"Male","2021-2023",2021,2023
74,0.031151,0.030673,70629.3,2166.4,11.76,"Male","2021-2023",2021,2023
75,0.032399,0.031882,68462.9,2182.7,11.11,"Male","2021-2023",2021,2023
76,0.036819,0.036153,66280.1,2396.3,10.46,"Male","2021-2023",2021,2023
77,0.042025,0.04116,63883.9,2629.5,9.84,"Male","2021-2023",2021,2023
78,0.048986,0.047815,61254.4,2928.9,9.24,"Male","2021-2023",2021,2023
79,0.052391,0.051053,58325.6,2977.7,8.68,"Male","2021-2023",2021,2023
80,0.059668,0.057939,55347.8,3206.8,8.12,"Male","2021-2023",2021,2023
81,0.065026,0.062979,52141,3283.8,7.59,"Male","2021-2023",2021,2023
82,0.077372,0.074491,48857.2,3639.4,7.06,"Male","2021-2023",2021,2023
83,0.083074,0.079761,45217.8,3606.6,6.59,"Male","2021-2023",2021,2023
84,0.097573,0.093034,41611.2,3871.3,6.12,"Male","2021-2023",2021,2023
85,0.105616,0.100318,37740,3786,5.69,"Male","2021-2023",2021,2023
86,0.114203,0.108034,33954,3668.2,5.27,"Male","2021-2023",2021,2023
87,0.134204,0.125765,30285.8,3808.9,4.85,"Male","2021-2023",2021,2023
88,0.150581,0.140038,26476.9,3707.8,4.48,"Male","2021-2023",2021,2023
89,0.166484,0.153691,22769.1,3499.4,4.13,"Male","2021-2023",2021,2023
90,0.198304,0.180415,19269.7,3476.6,3.78,"Male","2021-2023",2021,2023
91,0.20697,0.187561,15793.2,2962.2,3.51,"Male","2021-2023",2021,2023
92,0.252392,0.22411,12831,2875.6,3.2,"Male","2021-2023",2021,2023
93,0.264226,0.233392,9955.4,2323.5,2.98,"Male","2021-2023",2021,2023
94,0.284126,0.248783,7631.9,1898.7,2.74,"Male","2021-2023",2021,2023
95,0.35695,0.302891,5733.2,1736.5,2.48,"Male","2021-2023",2021,2023
96,0.36249,0.306871,3996.7,1226.5,2.34,"Male","2021-2023",2021,2023
97,0.400483,0.333668,2770.2,924.3,2.15,"Male","2021-2023",2021,2023
98,0.448077,0.366064,1845.9,675.7,1.98,"Male","2021-2023",2021,2023
99,0.533333,0.421053,1170.2,492.7,1.83,"Male","2021-2023",2021,2023
100,0.5,0.4,677.5,271,1.81,"Male","2021-2023",2021,2023
0,0.003372,0.003367,1e+05,336.7,82.01,"Female","2021-2023",2021,2023
1,0.000186,0.000186,99663.3,18.6,81.29,"Female","2021-2023",2021,2023
2,6.8e-05,6.8e-05,99644.8,6.8,80.3,"Female","2021-2023",2021,2023
3,4.3e-05,4.3e-05,99638,4.3,79.31,"Female","2021-2023",2021,2023
4,6.3e-05,6.3e-05,99633.7,6.3,78.31,"Female","2021-2023",2021,2023
