"Measure","Sex","Year","Quintile","Rate","Lower CI","Upper CI","Deaths"
"Avoidable mortality","Male","2001","1","672.2","636.9","707.5","1407"
"Avoidable mortality","Male","2001","2","557.9","526.20000000000005","589.6","1201"
"Avoidable mortality","Male","2001","3","459.7","432.2","487.3","1078"
"Avoidable mortality","Male","2001","4","391.1","366.2","416.1","951"
"Avoidable mortality","Male","2001","5","329","305.7","352.3","774"
"Avoidable mortality","Male","2002","1","707","670.8","743.1","1483"
"Avoidable mortality","Male","2002","2","546.4","515.29999999999995","577.5","1196"
"Avoidable mortality","Male","2002","3","451.6","424.4","478.7","1070"
"Avoidable mortality","Male","2002","4","359.2","335.5","382.9","888"
"Avoidable mortality","Male","2002","5","318.60000000000002","295.89999999999998","341.4","758"
"Avoidable mortality","Male","2003","1","716.7","680.2","753.3","1499"
"Avoidable mortality","Male","2003","2","522.6","492.5","552.70000000000005","1168"
"Avoidable mortality","Male","2003","3","414.9","389.3","440.6","1012"
"Avoidable mortality","Male","2003","4","359.6","336.1","383.2","901"
"Avoidable mortality","Male","2003","5","307.89999999999998","285.7","330.1","747"
"Avoidable mortality","Male","2004","1","604.70000000000005","571.4","638.1","1280"
"Avoidable mortality","Male","2004","2","496.2","466.9","525.4","1118"
"Avoidable mortality","Male","2004","3","392.3","367.5","417.1","972"
"Avoidable mortality","Male","2004","4","344","321.10000000000002","366.8","881"
"Avoidable mortality","Male","2004","5","294.89999999999998","273.39999999999998","316.39999999999998","729"
"Avoidable mortality","Male","2005","1","609.1","575.70000000000005","642.5","1296"
"Avoidable mortality","Male","2005","2","511.9","481.7","542.1","1122"
"Avoidable mortality","Male","2005","3","410.2","385.6","434.9","1073"
"Avoidable mortality","Male","2005","4","313.5","291.89999999999998","335","824"
"Avoidable mortality","Male","2005","5","264.7","244.2","285.10000000000002","652"
"Avoidable mortality","Male","2006","1","596.20000000000005","563.29999999999995","629.20000000000005","1279"
"Avoidable mortality","Male","2006","2","494.9","465.4","524.29999999999995","1106"
"Avoidable mortality","Male","2006","3","376.7","353.2","400.2","995"
"Avoidable mortality","Male","2006","4","309.5","288.3","330.8","826"
"Avoidable mortality","Male","2006","5","239.2","219.9","258.5","596"
"Avoidable mortality","Male","2007","1","624","590.6","657.4","1358"
"Avoidable mortality","Male","2007","2","474.9","446.4","503.4","1084"
"Avoidable mortality","Male","2007","3","368.9","345.9","392","993"
"Avoidable mortality","Male","2007","4","286.39999999999998","266.3","306.60000000000002","784"
"Avoidable mortality","Male","2007","5","253.2","233.5","272.8","645"
"Avoidable mortality","Male","2008","1","559.6","527.9","591.29999999999995","1219"
"Avoidable mortality","Male","2008","2","470.2","442.2","498.2","1096"
"Avoidable mortality","Male","2008","3","362.1","339.3","384.8","978"
"Avoidable mortality","Male","2008","4","284.39999999999998","264.5","304.3","792"
"Avoidable mortality","Male","2008","5","245","225.9","264","641"
"Avoidable mortality","Male","2009","1","597","564.4","629.6","1313"
"Avoidable mortality","Male","2009","2","455.8","428.5","483.1","1086"
"Avoidable mortality","Male","2009","3","345.8","323.8","367.8","957"
"Avoidable mortality","Male","2009","4","264.2","245.3","283.10000000000002","756"
"Avoidable mortality","Male","2009","5","246.8","227.8","265.89999999999998","653"
"Avoidable mortality","Male","2010","1","566","534.5","597.6","1259"
"Avoidable mortality","Male","2010","2","421.9","395.9","447.9","1023"
"Avoidable mortality","Male","2010","3","330.5","309","351.9","921"
"Avoidable mortality","Male","2010","4","263.8","244.9","282.60000000000002","761"
"Avoidable mortality","Male","2010","5","214.7","197","232.3","578"
"Avoidable mortality","Male","2011","1","539.9","509","570.9","1192"
"Avoidable mortality","Male","2011","2","420.3","394.9","445.7","1062"
"Avoidable mortality","Male","2011","3","339.1","317.39999999999998","360.9","946"
"Avoidable mortality","Male","2011","4","257.3","238.6","276","733"
"Avoidable mortality","Male","2011","5","202.4","185.5","219.2","561"
"Avoidable mortality","Male","2012","1","516.6","486.5","546.70000000000005","1152"
"Avoidable mortality","Male","2012","2","400.1","375.5","424.7","1026"
"Avoidable mortality","Male","2012","3","308.89999999999998","288.39999999999998","329.5","874"
"Avoidable mortality","Male","2012","4","257.8","239.1","276.5","740"
"Avoidable mortality","Male","2012","5","217.5","200.1","234.8","613"
"Avoidable mortality","Male","2013","1","522.6","492.4","552.79999999999995","1169"
"Avoidable mortality","Male","2013","2","399.8","375.4","424.2","1042"
"Avoidable mortality","Male","2013","3","313","292.5","333.5","904"
"Avoidable mortality","Male","2013","4","256.3","237.9","274.7","754"
"Avoidable mortality","Male","2013","5","230.6","212.9","248.4","660"
"Avoidable mortality","Male","2014","1","507.3","477.6","536.9","1143"
"Avoidable mortality","Male","2014","2","384.1","360.4","407.9","1012"
"Avoidable mortality","Male","2014","3","298.39999999999998","278.60000000000002","318.3","874"
"Avoidable mortality","Male","2014","4","242.6","224.9","260.3","731"
"Avoidable mortality","Male","2014","5","197.8","181.7","213.9","584"
"Avoidable mortality","Male","2015","1","527.1","497","557.20000000000005","1202"
"Avoidable mortality","Male","2015","2","382.7","359.1","406.4","1012"
"Avoidable mortality","Male","2015","3","337.9","316.60000000000002","359.1","981"
"Avoidable mortality","Male","2015","4","252.5","234.7","270.39999999999998","779"
"Avoidable mortality","Male","2015","5","202.8","186.5","219.1","602"
"Avoidable mortality","Male","2016","1","538.9","508.8","569","1254"
"Avoidable mortality","Male","2016","2","408.2","383.8","432.5","1086"
"Avoidable mortality","Male","2016","3","309.7","289.5","329.8","915"
"Avoidable mortality","Male","2016","4","275.39999999999998","256.89999999999998","293.89999999999998","863"
"Avoidable mortality","Male","2016","5","209.2","192.7","225.6","628"
"Avoidable mortality","Male","2017","1","548.29999999999995","518.1","578.5","1281"
"Avoidable mortality","Male","2017","2","373.7","350.6","396.8","1009"
"Avoidable mortality","Male","2017","3","313.3","293.2","333.4","944"
"Avoidable mortality","Male","2017","4","264.39999999999998","246.4","282.39999999999998","844"
"Avoidable mortality","Male","2017","5","190.3","174.8","205.8","585"
"Avoidable mortality","Male","2018","1","552.70000000000005","522.79999999999995","582.70000000000005","1320"
"Avoidable mortality","Male","2018","2","388.9","365.4","412.3","1061"
"Avoidable mortality","Male","2018","3","299","279.39999999999998","318.60000000000002","907"
"Avoidable mortality","Male","2018","4","258.60000000000002","240.8","276.3","832"
"Avoidable mortality","Male","2018","5","191.8","176.2","207.3","595"
"Avoidable mortality","Male","2019","1","525.20000000000005","496.1","554.20000000000005","1265"
"Avoidable mortality","Male","2019","2","391.7","368.2","415.2","1076"
"Avoidable mortality","Male","2019","3","289.8","270.60000000000002","308.89999999999998","893"
"Avoidable mortality","Male","2019","4","259.2","241.5","276.89999999999998","844"
"Avoidable mortality","Male","2019","5","192.7","177.2","208.2","601"
"Avoidable mortality","Male","2020","1","581.6","551.1","612.1","1405"
"Avoidable mortality","Male","2020","2","433.8","409.2","458.4","1200"
"Avoidable mortality","Male","2020","3","329","308.60000000000002","349.4","1013"
"Avoidable mortality","Male","2020","4","262.10000000000002","244.4","279.7","863"
"Avoidable mortality","Male","2020","5","205.6","189.6","221.7","642"
"Avoidable mortality","Male","2020 (excluding COVID-19)","1","490.3","462.3","518.29999999999995","1189"
"Avoidable mortality","Male","2020 (excluding COVID-19)","2","369.8","347.1","392.5","1022"
"Avoidable mortality","Male","2020 (excluding COVID-19)","3","296.8","277.39999999999998","316.2","910"
"Avoidable mortality","Male","2020 (excluding COVID-19)","4","231.9","215.2","248.6","757"
