"Year","Sex","Decile","Cause","Deaths","Rate","Lower CI","Upper CI"
"2001","Male","1","Alcohol-related and drug-related","1235","63.2","59.5","66.8"
"2001","Male","2","Alcohol-related and drug-related","900","44.8","41.8","47.9"
"2001","Male","3","Alcohol-related and drug-related","687","34.700000000000003","32","37.299999999999997"
"2001","Male","4","Alcohol-related and drug-related","524","25.5","23.3","27.8"
"2001","Male","5","Alcohol-related and drug-related","423","20.2","18.3","22.1"
"2001","Male","6","Alcohol-related and drug-related","367","17.100000000000001","15.4","18.899999999999999"
"2001","Male","7","Alcohol-related and drug-related","316","14.3","12.7","15.9"
"2001","Male","8","Alcohol-related and drug-related","270","12.5","11","14"
"2001","Male","9","Alcohol-related and drug-related","247","11.2","9.8000000000000007","12.6"
"2001","Male","10","Alcohol-related and drug-related","188","8.6999999999999993","7.4","10"
"2002","Male","1","Alcohol-related and drug-related","1190","61.6","58","65.2"
"2002","Male","2","Alcohol-related and drug-related","830","42.2","39.200000000000003","45.2"
"2002","Male","3","Alcohol-related and drug-related","622","30.8","28.3","33.299999999999997"
"2002","Male","4","Alcohol-related and drug-related","580","27.8","25.5","30.1"
"2002","Male","5","Alcohol-related and drug-related","463","22.1","20.100000000000001","24.1"
"2002","Male","6","Alcohol-related and drug-related","351","16.3","14.5","18"
"2002","Male","7","Alcohol-related and drug-related","296","13.5","12","15"
"2002","Male","8","Alcohol-related and drug-related","283","12.8","11.3","14.3"
"2002","Male","9","Alcohol-related and drug-related","227","10.5","9.1","11.8"
"2002","Male","10","Alcohol-related and drug-related","207","9.5","8.1999999999999993","10.9"
"2003","Male","1","Alcohol-related and drug-related","1193","62.1","58.5","65.8"
"2003","Male","2","Alcohol-related and drug-related","840","43","40.1","46"
"2003","Male","3","Alcohol-related and drug-related","705","35.299999999999997","32.6","38"
"2003","Male","4","Alcohol-related and drug-related","556","26.8","24.6","29.1"
"2003","Male","5","Alcohol-related and drug-related","451","21.3","19.3","23.3"
"2003","Male","6","Alcohol-related and drug-related","398","18.600000000000001","16.8","20.5"
"2003","Male","7","Alcohol-related and drug-related","325","14.8","13.2","16.399999999999999"
"2003","Male","8","Alcohol-related and drug-related","286","12.8","11.3","14.3"
"2003","Male","9","Alcohol-related and drug-related","249","11.2","9.8000000000000007","12.6"
"2003","Male","10","Alcohol-related and drug-related","209","9.6","8.3000000000000007","10.9"
"2004","Male","1","Alcohol-related and drug-related","1211","62.7","59","66.3"
"2004","Male","2","Alcohol-related and drug-related","849","43.9","40.9","47"
"2004","Male","3","Alcohol-related and drug-related","686","33.700000000000003","31.1","36.299999999999997"
"2004","Male","4","Alcohol-related and drug-related","557","26.9","24.7","29.2"
"2004","Male","5","Alcohol-related and drug-related","474","22","20","24"
"2004","Male","6","Alcohol-related and drug-related","380","17.5","15.7","19.3"
"2004","Male","7","Alcohol-related and drug-related","316","14.2","12.6","15.8"
"2004","Male","8","Alcohol-related and drug-related","298","13.4","11.9","15"
"2004","Male","9","Alcohol-related and drug-related","266","11.9","10.4","13.3"
"2004","Male","10","Alcohol-related and drug-related","211","9.4","8.1","10.7"
"2005","Male","1","Alcohol-related and drug-related","1240","63.4","59.8","67"
"2005","Male","2","Alcohol-related and drug-related","830","43.1","40.1","46.1"
"2005","Male","3","Alcohol-related and drug-related","701","34.5","31.9","37.1"
"2005","Male","4","Alcohol-related and drug-related","557","27","24.7","29.2"
"2005","Male","5","Alcohol-related and drug-related","545","24.9","22.8","27"
"2005","Male","6","Alcohol-related and drug-related","431","19.5","17.7","21.4"
"2005","Male","7","Alcohol-related and drug-related","374","16.600000000000001","14.9","18.3"
"2005","Male","8","Alcohol-related and drug-related","293","13.1","11.6","14.7"
"2005","Male","9","Alcohol-related and drug-related","277","12.2","10.7","13.6"
"2005","Male","10","Alcohol-related and drug-related","217","9.9","8.5","11.2"
"2006","Male","1","Alcohol-related and drug-related","1312","65.900000000000006","62.2","69.5"
"2006","Male","2","Alcohol-related and drug-related","890","45.8","42.7","48.9"
"2006","Male","3","Alcohol-related and drug-related","751","36.799999999999997","34.1","39.5"
"2006","Male","4","Alcohol-related and drug-related","601","28.6","26.3","30.9"
"2006","Male","5","Alcohol-related and drug-related","487","22.1","20.2","24.1"
"2006","Male","6","Alcohol-related and drug-related","377","17.100000000000001","15.3","18.8"
"2006","Male","7","Alcohol-related and drug-related","342","15.1","13.5","16.7"
"2006","Male","8","Alcohol-related and drug-related","287","12.8","11.3","14.3"
"2006","Male","9","Alcohol-related and drug-related","274","12.2","10.8","13.7"
"2006","Male","10","Alcohol-related and drug-related","208","9.3000000000000007","8","10.6"
"2007","Male","1","Alcohol-related and drug-related","1309","65.599999999999994","62","69.3"
"2007","Male","2","Alcohol-related and drug-related","894","44.6","41.6","47.6"
"2007","Male","3","Alcohol-related and drug-related","756","36.4","33.799999999999997","39.1"
"2007","Male","4","Alcohol-related and drug-related","619","29.1","26.8","31.4"
"2007","Male","5","Alcohol-related and drug-related","511","23","21","25"
"2007","Male","6","Alcohol-related and drug-related","382","17","15.2","18.7"
"2007","Male","7","Alcohol-related and drug-related","349","15.2","13.6","16.8"
