"Measure","Year","Sex","SII","SII lower CI","SII upper CI","Absolute inequality [note 15]"
"Avoidable mortality","2001","Male","425.8","379.2","473.1","343.20000000000005"
"Avoidable mortality","2001","Female","263.2","229.6","297.8","224.40000000000003"
"Avoidable mortality","2002","Male","480.3","432.7","526.70000000000005","388.4"
"Avoidable mortality","2002","Female","267.89999999999998","233.8","301.7","220.20000000000002"
"Avoidable mortality","2003","Male","487.4","440.5","533.70000000000005","408.80000000000007"
"Avoidable mortality","2003","Female","270.3","237.2","303.7","228.2"
"Avoidable mortality","2004","Male","384.1","341.2","428.4","309.80000000000007"
"Avoidable mortality","2004","Female","249.7","216.6","283.10000000000002","224.4"
"Avoidable mortality","2005","Male","440.3","397.4","483.2","344.40000000000003"
"Avoidable mortality","2005","Female","278.39999999999998","246","310.2","226.3"
"Avoidable mortality","2006","Male","445.7","403.8","486.8","357.00000000000006"
"Avoidable mortality","2006","Female","249.5","218","281.7","198.5"
"Avoidable mortality","2007","Male","460.7","418.4","502.6","370.8"
"Avoidable mortality","2007","Female","246.9","214.9","278.2","192.5"
"Avoidable mortality","2008","Male","404.7","364.9","446.1","314.60000000000002"
"Avoidable mortality","2008","Female","273.2","241.2","304.60000000000002","233.4"
"Avoidable mortality","2009","Male","442.7","402.4","483","350.2"
"Avoidable mortality","2009","Female","222.3","192.7","252.4","176"
"Avoidable mortality","2010","Male","426.7","387.1","465.4","351.3"
"Avoidable mortality","2010","Female","245.4","215.8","275.10000000000002","196.5"
"Avoidable mortality","2011","Male","415.6","377.4","453.2","337.5"
"Avoidable mortality","2011","Female","248.8","218.2","279.39999999999998","203.79999999999998"
"Avoidable mortality","2012","Male","367.2","329.3","404.6","299.10000000000002"
"Avoidable mortality","2012","Female","232","202.5","260.2","193.10000000000002"
"Avoidable mortality","2013","Male","361","323.5","398.7","292"
"Avoidable mortality","2013","Female","200.8","172.8","228.9","174.8"
"Avoidable mortality","2014","Male","377.4","341.7","413.6","309.5"
"Avoidable mortality","2014","Female","215.9","187.7","244.2","180.7"
"Avoidable mortality","2015","Male","387.4","350.2","424.4","324.3"
"Avoidable mortality","2015","Female","238.6","208.9","267.5","185.70000000000002"
"Avoidable mortality","2016","Male","394.3","356.7","431.2","329.7"
