"Measure","Sex","Year","Quintile","Deaths","Rate","Lower CI","Upper CI"
"Avoidable mortality","Male","2001","1","23473","720.2","710.9","729.6"
"Avoidable mortality","Male","2001","2","17172","507.7","500.1","515.4"
"Avoidable mortality","Male","2001","3","14895","401.1","394.6","407.6"
"Avoidable mortality","Male","2001","4","13335","340.6","334.8","346.4"
"Avoidable mortality","Male","2001","5","11076","283.60000000000002","278.3","289"
"Avoidable mortality","Male","2002","1","22716","702.1","692.9","711.4"
"Avoidable mortality","Male","2002","2","16631","487.1","479.6","494.6"
"Avoidable mortality","Male","2002","3","14731","390.9","384.6","397.3"
"Avoidable mortality","Male","2002","4","13075","328.2","322.5","333.8"
"Avoidable mortality","Male","2002","5","11050","278.60000000000002","273.39999999999998","283.89999999999998"
"Avoidable mortality","Male","2003","1","22364","689.9","680.7","699.1"
"Avoidable mortality","Male","2003","2","16368","476.3","468.9","483.7"
"Avoidable mortality","Male","2003","3","14412","377.7","371.5","383.9"
"Avoidable mortality","Male","2003","4","12874","318.10000000000002","312.60000000000002","323.60000000000002"
"Avoidable mortality","Male","2003","5","10791","267.39999999999998","262.3","272.39999999999998"
"Avoidable mortality","Male","2004","1","21087","653.29999999999995","644.29999999999995","662.3"
"Avoidable mortality","Male","2004","2","15840","456.7","449.5","463.9"
"Avoidable mortality","Male","2004","3","13947","359.4","353.4","365.4"
"Avoidable mortality","Male","2004","4","12230","298.5","293.10000000000002","303.8"
"Avoidable mortality","Male","2004","5","10131","247.2","242.4","252.1"
"Avoidable mortality","Male","2005","1","20435","631.4","622.6","640.20000000000005"
"Avoidable mortality","Male","2005","2","15680","448.7","441.5","455.8"
"Avoidable mortality","Male","2005","3","13767","349.5","343.6","355.3"
"Avoidable mortality","Male","2005","4","12050","289.10000000000002","283.89999999999998","294.3"
"Avoidable mortality","Male","2005","5","9769","234.1","229.5","238.8"
"Avoidable mortality","Male","2006","1","19820","610","601.29999999999995","618.70000000000005"
"Avoidable mortality","Male","2006","2","15410","436.4","429.4","443.4"
"Avoidable mortality","Male","2006","3","13155","330.4","324.7","336.1"
"Avoidable mortality","Male","2006","4","11535","273.39999999999998","268.39999999999998","278.39999999999998"
"Avoidable mortality","Male","2006","5","9568","226.3","221.7","230.9"
"Avoidable mortality","Male","2007","1","19752","598.1","589.6","606.6"
"Avoidable mortality","Male","2007","2","14876","416.4","409.7","423.2"
"Avoidable mortality","Male","2007","3","12977","318.5","313","324"
"Avoidable mortality","Male","2007","4","11241","260.3","255.5","265.10000000000002"
"Avoidable mortality","Male","2007","5","9271","218.3","213.9","222.8"
"Avoidable mortality","Male","2008","1","19872","594.1","585.70000000000005","602.6"
"Avoidable mortality","Male","2008","2","14872","406.8","400.2","413.5"
"Avoidable mortality","Male","2008","3","12895","310.5","305.10000000000002","315.89999999999998"
"Avoidable mortality","Male","2008","4","11241","254.6","249.8","259.3"
"Avoidable mortality","Male","2008","5","9255","213.4","209","217.8"
"Avoidable mortality","Male","2009","1","19107","564.70000000000005","556.5","572.9"
"Avoidable mortality","Male","2009","2","14503","391.4","384.9","397.8"
"Avoidable mortality","Male","2009","3","12486","295.2","289.89999999999998","300.39999999999998"
"Avoidable mortality","Male","2009","4","11107","246.8","242.2","251.4"
"Avoidable mortality","Male","2009","5","9050","203.8","199.6","208.1"
"Avoidable mortality","Male","2010","1","18297","537.29999999999995","529.29999999999995","545.20000000000005"
"Avoidable mortality","Male","2010","2","14423","384.8","378.5","391.2"
"Avoidable mortality","Male","2010","3","12555","292.2","287.10000000000002","297.39999999999998"
"Avoidable mortality","Male","2010","4","10915","238.3","233.8","242.8"
"Avoidable mortality","Male","2010","5","8979","199.1","194.9","203.2"
"Avoidable mortality","Male","2011","1","18150","524.4","516.6","532.20000000000005"
"Avoidable mortality","Male","2011","2","13852","360.1","354","366.2"
"Avoidable mortality","Male","2011","3","11895","273.3","268.3","278.2"
"Avoidable mortality","Male","2011","4","10689","234.7","230.2","239.2"
"Avoidable mortality","Male","2011","5","8534","186.6","182.7","190.6"
"Avoidable mortality","Male","2012","1","17724","504.5","496.9","512.1"
"Avoidable mortality","Male","2012","2","13671","351.4","345.4","357.3"
"Avoidable mortality","Male","2012","3","11972","269.5","264.60000000000002","274.3"
"Avoidable mortality","Male","2012","4","10320","222.3","218","226.7"
"Avoidable mortality","Male","2012","5","8239","177","173.1","180.8"
"Avoidable mortality","Male","2013","1","17782","500.3","492.8","507.8"
"Avoidable mortality","Male","2013","2","13922","350.1","344.2","356.1"
"Avoidable mortality","Male","2013","3","12201","269.89999999999998","265.10000000000002","274.8"
"Avoidable mortality","Male","2013","4","10496","221.9","217.6","226.1"
"Avoidable mortality","Male","2013","5","8604","181.1","177.2","185"
"Avoidable mortality","Male","2014","1","18230","503.7","496.2","511.2"
"Avoidable mortality","Male","2014","2","14152","348.5","342.7","354.3"
"Avoidable mortality","Male","2014","3","12081","261.5","256.8","266.2"
"Avoidable mortality","Male","2014","4","10425","216.4","212.2","220.6"
"Avoidable mortality","Male","2014","5","8477","174.7","171","178.5"
"Avoidable mortality","Male","2015","1","18556","503.7","496.3","511.1"
"Avoidable mortality","Male","2015","2","14515","350.2","344.4","356"
"Avoidable mortality","Male","2015","3","12211","260","255.4","264.7"
"Avoidable mortality","Male","2015","4","10410","211.8","207.7","215.8"
"Avoidable mortality","Male","2015","5","8583","174","170.3","177.7"
"Avoidable mortality","Male","2016","1","19036","500.1","492.8","507.3"
"Avoidable mortality","Male","2016","2","14708","344.9","339.3","350.5"
"Avoidable mortality","Male","2016","3","12325","257.60000000000002","253","262.10000000000002"
"Avoidable mortality","Male","2016","4","10579","211.5","207.5","215.5"
"Avoidable mortality","Male","2016","5","8481","169","165.4","172.6"
"Avoidable mortality","Male","2017","1","19259","494.8","487.7","501.9"
"Avoidable mortality","Male","2017","2","14691","336.9","331.4","342.4"
"Avoidable mortality","Male","2017","3","12259","250.9","246.5","255.4"
"Avoidable mortality","Male","2017","4","10764","210.8","206.8","214.8"
"Avoidable mortality","Male","2017","5","8442","164.6","161","168.1"
"Avoidable mortality","Male","2018","1","19606","495.2","488.2","502.2"
"Avoidable mortality","Male","2018","2","14850","334.6","329.2","340"
"Avoidable mortality","Male","2018","3","12765","257.5","253","262"
"Avoidable mortality","Male","2018","4","10664","206.3","202.3","210.2"
"Avoidable mortality","Male","2018","5","8714","168.8","165.3","172.4"
"Avoidable mortality","Male","2019","1","19200","477.4","470.6","484.2"
"Avoidable mortality","Male","2019","2","14677","326.39999999999998","321","331.7"
"Avoidable mortality","Male","2019","3","12297","245.9","241.5","250.2"
"Avoidable mortality","Male","2019","4","10529","202.6","198.7","206.4"
"Avoidable mortality","Male","2019","5","8570","165","161.5","168.6"
"Avoidable mortality","Male","2020","1","23477","579.9","572.4","587.4"
"Avoidable mortality","Male","2020","2","17737","391.3","385.5","397.1"
"Avoidable mortality","Male","2020","3","14553","288.8","284.10000000000002","293.5"
"Avoidable mortality","Male","2020","4","12260","234.4","230.2","238.6"
"Avoidable mortality","Male","2020","5","9850","188.4","184.6","192.1"
"Avoidable mortality","Male","2020 (excluding COVID-19)","1","20029","491","484.2","497.9"
"Avoidable mortality","Male","2020 (excluding COVID-19)","2","15036","330.2","324.89999999999998","335.5"
