"Measure","Sex","Year","Decile","Rate","Lower CI","Upper CI","Deaths"
"Avoidable mortality","Male","2001","1","700","648.1","751.9","709"
"Avoidable mortality","Male","2001","2","615.1","568.1","662.1","664"
"Avoidable mortality","Male","2001","3","592.4","546.20000000000005","638.70000000000005","636"
"Avoidable mortality","Male","2001","4","572.5","527.20000000000005","617.9","618"
"Avoidable mortality","Male","2001","5","510.1","468","552.29999999999995","566"
"Avoidable mortality","Male","2001","6","430.7","394","467.4","532"
"Avoidable mortality","Male","2001","7","373.5","339.4","407.7","462"
"Avoidable mortality","Male","2001","8","403.5","367.3","439.7","482"
"Avoidable mortality","Male","2001","9","333.3","300.5","366.2","400"
"Avoidable mortality","Male","2001","10","297.10000000000002","265.39999999999998","328.7","342"
"Avoidable mortality","Male","2002","1","754.2","700.5","807.9","768"
"Avoidable mortality","Male","2002","2","642.4","594.29999999999995","690.5","692"
"Avoidable mortality","Male","2002","3","608.4","561.70000000000005","655.1","660"
"Avoidable mortality","Male","2002","4","523.79999999999995","480.9","566.70000000000005","578"
"Avoidable mortality","Male","2002","5","491","449.8","532.20000000000005","549"
"Avoidable mortality","Male","2002","6","426.1","389.8","462.4","534"
"Avoidable mortality","Male","2002","7","389.9","355.2","424.7","487"
"Avoidable mortality","Male","2002","8","329.9","297.60000000000002","362.3","403"
"Avoidable mortality","Male","2002","9","337.3","304.60000000000002","370","413"
"Avoidable mortality","Male","2002","10","269.10000000000002","239","299.10000000000002","311"
"Avoidable mortality","Male","2003","1","747.7","694","801.5","755"
"Avoidable mortality","Male","2003","2","659.4","610.70000000000005","708.1","713"
"Avoidable mortality","Male","2003","3","554.9","510.9","598.79999999999995","619"
"Avoidable mortality","Male","2003","4","539.29999999999995","495.9","582.70000000000005","601"
"Avoidable mortality","Male","2003","5","458.8","419.5","498.1","527"
"Avoidable mortality","Male","2003","6","378","344.3","411.7","488"
"Avoidable mortality","Male","2003","7","368.7","335.3","402.1","471"
"Avoidable mortality","Male","2003","8","358.6","324.89999999999998","392.3","440"
"Avoidable mortality","Male","2003","9","328.9","296.8","361.1","407"
"Avoidable mortality","Male","2003","10","258.89999999999998","229.7","288","306"
"Avoidable mortality","Male","2004","1","626.1","577.29999999999995","675","641"
"Avoidable mortality","Male","2004","2","570.1","525.1","615.20000000000005","623"
"Avoidable mortality","Male","2004","3","507.8","465.5","550","562"
"Avoidable mortality","Male","2004","4","511.2","469.5","552.79999999999995","586"
"Avoidable mortality","Male","2004","5","430.2","392.4","468","502"
"Avoidable mortality","Male","2004","6","368.7","335.6","401.7","483"
"Avoidable mortality","Male","2004","7","360.9","328.1","393.6","471"
"Avoidable mortality","Male","2004","8","335.8","303.5","368.1","420"
"Avoidable mortality","Male","2004","9","283.89999999999998","254.5","313.3","362"
"Avoidable mortality","Male","2004","10","274.5","244.7","304.3","330"
"Avoidable mortality","Male","2005","1","680.2","629.20000000000005","731.2","697"
"Avoidable mortality","Male","2005","2","543.29999999999995","499.6","587","599"
"Avoidable mortality","Male","2005","3","532.1","489","575.1","597"
"Avoidable mortality","Male","2005","4","490.9","448.6","533.29999999999995","525"
"Avoidable mortality","Male","2005","5","423.2","387.3","459.1","538"
"Avoidable mortality","Male","2005","6","398.5","364.6","432.4","535"
"Avoidable mortality","Male","2005","7","310.39999999999998","280.3","340.5","413"
"Avoidable mortality","Male","2005","8","316.7","285.89999999999998","347.4","411"
"Avoidable mortality","Male","2005","9","267.3","238","296.7","324"
"Avoidable mortality","Male","2005","10","263.39999999999998","234.7","292","328"
"Avoidable mortality","Male","2006","1","679.5","628.6","730.3","700"
"Avoidable mortality","Male","2006","2","519.9","477.3","562.4","579"
"Avoidable mortality","Male","2006","3","535.70000000000005","492.8","578.6","611"
"Avoidable mortality","Male","2006","4","452.4","412.2","492.6","495"
"Avoidable mortality","Male","2006","5","393.4","358.9","427.9","504"
"Avoidable mortality","Male","2006","6","361.6","329.5","393.7","491"
"Avoidable mortality","Male","2006","7","322.2","291.7","352.7","433"
"Avoidable mortality","Male","2006","8","296.8","267.3","326.3","393"
"Avoidable mortality","Male","2006","9","240.5","213","267.89999999999998","299"
"Avoidable mortality","Male","2006","10","238","210.8","265.2","297"
"Avoidable mortality","Male","2007","1","696.3","645.1","747.6","723"
"Avoidable mortality","Male","2007","2","557.9","514.29999999999995","601.5","635"
"Avoidable mortality","Male","2007","3","501.5","460.5","542.6","585"
"Avoidable mortality","Male","2007","4","446.8","407.3","486.3","499"
"Avoidable mortality","Male","2007","5","393.9","359.9","427.9","520"
"Avoidable mortality","Male","2007","6","344.8","313.60000000000002","376","473"
"Avoidable mortality","Male","2007","7","287.8","259.3","316.39999999999998","396"
"Avoidable mortality","Male","2007","8","285","256.5","313.5","388"
"Avoidable mortality","Male","2007","9","259.7","231.6","287.89999999999998","332"
"Avoidable mortality","Male","2007","10","246.5","219.1","274","313"
"Avoidable mortality","Male","2008","1","593.6","546.1","641.20000000000005","614"
"Avoidable mortality","Male","2008","2","528.9","486.5","571.4","605"
"Avoidable mortality","Male","2008","3","495.3","455","535.5","590"
"Avoidable mortality","Male","2008","4","445.3","406.2","484.4","506"
"Avoidable mortality","Male","2008","5","368.3","335.6","401","491"
"Avoidable mortality","Male","2008","6","356.5","324.7","388.3","487"
"Avoidable mortality","Male","2008","7","282.5","254.5","310.39999999999998","397"
"Avoidable mortality","Male","2008","8","286.2","257.8","314.5","395"
"Avoidable mortality","Male","2008","9","270.39999999999998","242.3","298.5","360"
"Avoidable mortality","Male","2008","10","218.8","193.1","244.5","281"
"Avoidable mortality","Male","2009","1","632","583.29999999999995","680.8","662"
"Avoidable mortality","Male","2009","2","564.70000000000005","521","608.29999999999995","651"
"Avoidable mortality","Male","2009","3","480","440.7","519.29999999999995","579"
"Avoidable mortality","Male","2009","4","431.1","393.3","469","507"
"Avoidable mortality","Male","2009","5","363.8","331.6","396.1","493"
"Avoidable mortality","Male","2009","6","328.6","298.5","358.6","464"
"Avoidable mortality","Male","2009","7","266.10000000000002","239.3","292.89999999999998","383"
"Avoidable mortality","Male","2009","8","262.7","235.9","289.39999999999998","373"
"Avoidable mortality","Male","2009","9","263.8","236.2","291.39999999999998","355"
"Avoidable mortality","Male","2009","10","229.3","203.2","255.5","298"
"Avoidable mortality","Male","2010","1","631.6","583","680.2","665"
"Avoidable mortality","Male","2010","2","507.3","466.2","548.29999999999995","594"
"Avoidable mortality","Male","2010","3","440.5","403.2","477.7","542"
"Avoidable mortality","Male","2010","4","403.8","367.4","440.1","481"
"Avoidable mortality","Male","2010","5","322.2","292","352.4","441"
"Avoidable mortality","Male","2010","6","338.3","307.89999999999998","368.7","480"
"Avoidable mortality","Male","2010","7","262.60000000000002","236.3","289","385"
"Avoidable mortality","Male","2010","8","264.89999999999998","238","291.8","376"
"Avoidable mortality","Male","2010","9","230.5","205","256","318"
"Avoidable mortality","Male","2010","10","198.5","174.2","222.8","260"
"Avoidable mortality","Male","2011","1","588.1","541.29999999999995","634.9","622"
"Avoidable mortality","Male","2011","2","495.9","454.9","537","570"
"Avoidable mortality","Male","2011","3","454.2","416.5","491.9","563"
"Avoidable mortality","Male","2011","4","386.8","352.7","420.9","499"
"Avoidable mortality","Male","2011","5","349.6","317.89999999999998","381.4","471"
"Avoidable mortality","Male","2011","6","329.1","299.39999999999998","358.9","475"
"Avoidable mortality","Male","2011","7","277.7","250.2","305.3","396"
"Avoidable mortality","Male","2011","8","237","211.6","262.39999999999998","337"
"Avoidable mortality","Male","2011","9","232.9","207.9","257.89999999999998","337"
"Avoidable mortality","Male","2011","10","168.7","146.4","191","224"
"Avoidable mortality","Male","2012","1","554.1","509.1","599.20000000000005","595"
"Avoidable mortality","Male","2012","2","481.9","441.5","522.20000000000005","557"
"Avoidable mortality","Male","2012","3","412.8","377","448.6","516"
"Avoidable mortality","Male","2012","4","388.3","354.5","422.2","510"
"Avoidable mortality","Male","2012","5","328.3","297.8","358.9","447"
"Avoidable mortality","Male","2012","6","291","263.2","318.7","427"
"Avoidable mortality","Male","2012","7","273.7","246.4","301.10000000000002","390"
"Avoidable mortality","Male","2012","8","242.1","216.6","267.60000000000002","350"
"Avoidable mortality","Male","2012","9","249.3","223.5","275","365"
"Avoidable mortality","Male","2012","10","183.2","160.19999999999999","206.1","248"
"Avoidable mortality","Male","2013","1","583.1","536.79999999999995","629.4","624"
"Avoidable mortality","Male","2013","2","467.2","427.7","506.7","545"
"Avoidable mortality","Male","2013","3","410.7","375.3","446.1","522"
"Avoidable mortality","Male","2013","4","389.4","355.8","423","520"
"Avoidable mortality","Male","2013","5","333.3","302.8","363.7","464"
